movie_id,country_code
129,JP
497,US
122,US
120,US
40096,BR
121,US
4935,JP
1218925,JP
128,JP
620249,CN
533514,JP
1585,US
1139087,US
18491,JP
572154,JP
92321,JP
110420,JP
618344,US
315162,US
635302,JP
441130,IE
441130,LU
441130,US
537061,US
490,SE
476292,JP
592350,JP
980477,CN
810693,JP
149871,JP
508442,US
791373,US
823219,LV
664767,US
12445,GB
610892,JP
8392,JP
663558,CN
640344,IT
532067,JP
518068,KR
638507,US
397567,KR
803796,US
555604,US
14696,JP
673,GB
110416,IE
140420,US
568160,JP
10515,JP
81,JP
29264,MX
726684,FR
1087192,US
315465,JP
122906,GB
14836,US
671,GB
615453,CN
916224,JP
183011,US
667520,JP
505262,JP
961323,US
32085,US
10191,US
33320,JP
2062,US
178682,US
16859,JP
445030,JP
9479,US
550205,CN
550205,US
22,US
83564,US
762,GB
527774,US
674,GB
11621,JP
568012,JP
5961,DE
5961,FR
5961,SE
508943,US
14069,JP
14282,JP
141,US
1417,MX
1417,ES
144,DE
808,US
28162,GB
587,US
12429,JP
24480,US
15265,FR
12516,JP
12444,GB
27670,IT
585511,US
10020,US
30959,JP
15916,JP
162,US
672,GB
843241,JP
573699,CN
221732,JP
2493,US
486589,KR
1311031,JP
767,GB
82702,US
539517,US
11787,US
506574,US
675,GB
51739,JP
413594,JP
15999,JP
653,DE
812,US
1062722,US
508439,US
381289,US
137,US
14784,US
20123,YU
309809,FR
19101,US
9444,US
4922,US
496450,FR
244,US
841755,US
502356,US
3933,US
630,US
27040,US
976573,US
57158,US
568124,US
221731,JP
39323,JP
9016,US
11688,US
514754,US
765,US
433,US
433471,US
856,US
556901,US
507569,JP
228326,US
127533,JP
16633,US
9495,US
59436,US
601,US
648,FR
566525,US
620,US
176983,JP
1600,FR
1600,PL
586940,FR
11970,US
9470,HK
252,US
599521,US
503919,US
9081,US
877703,US
251516,SE
13189,GB
13189,US
293863,US
27327,US
347201,JP
529216,ES
42994,JP
431580,CN
431580,US
11704,US
350312,IN
529203,US
337703,BE
337703,FR
36685,GB
36685,US
10437,US
666243,US
11236,US
137106,US
284052,US
492,US
76589,US
508883,JP
20982,JP
994108,US
481432,IT
13382,US
487670,US
26963,IE
20558,US
10849,US
628,US
265712,JP
876716,US
20312,CA
20312,US
17681,US
271706,CN
58,US
83533,US
81188,US
2899,FR
36728,JP
49051,US
4011,US
1427,DE
876792,JP
118406,JP
297,US
417320,US
10144,US
21348,BE
21348,FR
21348,LU
2134,US
756,US
831405,US
122917,US
17581,JP
493529,US
560057,US
425909,US
25623,JP
755339,BR
809107,CA
809107,US
866,US
508947,US
30061,US
892,FR
809,US
922,US
259316,GB
259316,US
26736,US
13688,CN
13688,US
13688,HK
420814,GB
420814,US
118412,JP
615666,GB
451048,US
1491,US
1491,CZ
420809,US
12902,US
408220,US
258230,ES
34647,FR
2270,GB
2270,US
837335,IT
1262,US
912598,JP
1433,ES
842924,US
416494,US
668461,US
1147400,FR
13597,GB
13597,US
323661,FR
438148,US
590223,US
2657,US
285,US
436343,HU
766,US
34134,US
10150,US
779,FR
779,DE
571468,IT
571468,BE
10501,US
483980,US
923939,US
109445,US
901362,US
79707,JP
8844,US
75258,US
902,FR
465136,US
446893,US
113082,JP
399055,US
330457,US
251,US
268,US
899112,US
453395,US
16646,RU
9078,US
116745,US
5590,FR
34584,DE
10198,US
204436,FR
297762,US
6978,US
12105,GB
900667,JP
152603,FR
152603,GR
152603,DE
152603,GB
12159,US
302429,US
2668,US
10693,US
12092,US
2280,US
15359,US
407655,US
560050,US
10830,US
15283,JP
11044,FR
11533,US
1040148,US
527435,US
647,JP
642885,US
585245,US
277217,US
475215,JP
645757,GB
459003,UA
501170,US
927,US
430447,JP
10601,AU
10601,GB
10601,US
411,US
411,GB
11639,US
11639,GB
672647,US
15370,JP
408,US
11687,FR
4688,US
561,US
103332,US
2323,US
279229,DE
10895,US
323027,US
547016,US
749004,FR
487242,US
836225,US
102651,US
420817,US
845222,KR
1246049,FR
856289,CN
11836,US
428449,US
436931,JP
11934,US
2907,US
16140,JP
7980,US
16007,JP
173,US
581389,KR
570131,FR
560044,CA
11224,US
787699,GB
118,US
585083,US
10439,US
779782,US
639933,US
588921,PE
487672,US
12335,US
2044,US
15775,US
15775,GB
62177,US
926899,GB
847,US
71864,US
12665,US
1730,US
14411,US
1011985,US
526,US
1241982,US
245842,AU
245842,US
13192,US
845781,US
23202,US
103328,FR
300,FR
763215,US
460465,AU
460465,CA
460465,US
854,US
615774,US
287947,US
894205,US
1024,NZ
1024,US
2758,US
811367,US
321612,US
14506,DE
337556,DE
13198,GB
13198,US
564,US
397837,US
639720,US
76492,US
11227,FR
9007,US
17445,US
10228,JP
10166,US
10166,GB
11527,GB
364,US
16093,US
175774,DE
19933,US
10882,US
917496,US
24420,US
639721,US
1114967,US
347031,US
1832,US
9871,CA
741074,US
816904,ES
13179,US
402431,US
170657,CN
170657,HK
447404,US
17979,US
10323,US
77459,FR
13253,US
8953,JP
177888,US
11571,US
24100,DE
24100,US
24100,NL
660942,DK
660942,NO
556694,AU
556694,US
512200,US
13285,US
278927,GB
278927,US
16962,US
9667,US
360920,US
297802,US
8009,US
8009,GB
57737,US
1494,CN
1494,HK
28609,JP
526050,US
110390,SE
400155,US
10019,US
1125257,US
277,US
277,GB
4523,US
18937,US
879,US
283366,US
338952,US
338952,GB
846867,US
261102,ES
337401,US
84175,US
76535,US
150689,US
41216,AU
41216,US
446894,US
11708,US
11708,GB
353486,US
25475,US
27850,US
5994,US
13682,US
11497,US
2300,US
795,US
9387,US
759175,US
18198,US
1001865,GB
668482,GB
1226863,US
16910,JP
11319,US
228161,US
9647,US
2179,US
2179,DE
601796,KR
8871,US
424781,US
9374,US
9100,US
10096,US
10195,US
11253,US
325189,US
159824,US
6435,US
571891,JP
44683,US
635910,US
10510,US
4244,US
15849,US
21481,US
755566,US
7985,US
7985,GB
36897,JP
12599,JP
1870,FR
253980,US
10837,US
8967,US
310,US
974262,US
5255,AU
5255,US
524216,US
1875,FR
13155,US
662546,US
43645,IT
13509,US
798286,US
426063,US
10072,US
9297,US
170687,US
46146,NO
11548,US
785457,US
426284,JP
484510,US
338958,US
517839,SE
78698,US
78698,GB
11283,US
11283,GB
21683,US
8204,US
515195,GB
515195,US
5680,US
1487,US
13768,US
34204,US
10719,US
166426,US
823482,US
330764,BE
287590,JP
2897,US
967941,US
12155,US
621870,US
38368,TH
12185,US
36819,GB
1729,CN
1729,US
1729,HK
626412,KR
2454,US
338953,US
338953,GB
136799,US
9463,JP
577242,FR
433422,JP
834,US
559907,US
481084,US
481084,CA
4958,US
1593,US
2978,US
123,GB
123,US
417859,US
10539,US
329996,GB
329996,US
22586,US
10330,US
448119,US
46528,NZ
46528,US
454467,US
14136,US
622855,US
1865,US
1865,GB
10215,GB
413518,IT
241259,GB
241259,US
18032,GB
433310,US
736526,NO
11551,US
526051,CA
526051,US
36586,US
274857,US
412656,US
293167,US
116711,US
8840,US
839033,US
400157,US
381890,CN
125521,JP
16119,US
420426,JP
6069,US
54318,NZ
54318,GB
54318,US
12437,US
11814,US
10991,JP
37933,JP
1139829,US
572802,US
928,US
246655,US
12797,US
10052,US
458576,CN
12222,US
11395,US
400650,US
37725,CA
37725,US
37725,GB
11559,GB
76338,US
11827,US
11980,US
13465,US
654028,US
301804,US
16523,US
10326,US
9707,US
877183,US
489326,US
489326,GB
489326,NO
16690,US
14442,IE
14442,GB
12600,JP
9294,US
15301,US
9593,US
296271,CZ
448095,US
621151,US
460793,US
14191,US
11596,US
11359,US
355547,US
36968,US
50620,US
991,GB
28032,US
649609,US
967847,US
49017,US
72105,US
10140,GB
10140,US
314405,IT
616747,US
123553,DE
123553,US
123553,GB
123553,CA
10957,US
606117,US
594767,US
788929,IS
119569,US
75,US
11653,HK
1153714,US
1180831,NO
300168,CN
300168,HK
22620,US
15139,US
68735,US
1734,US
10192,US
798021,US
13225,US
26515,US
8054,GB
294272,US
9992,FR
616037,US
464052,US
20481,US
338970,GB
338970,US
477033,ES
435707,ES
13394,US
11852,US
1086747,US
9785,CA
9785,US
8960,US
324544,DE
324544,CH
13600,US
521034,US
521034,GB
11232,US
8839,US
531219,US
52520,US
8965,US
606234,US
606234,GB
593910,US
40205,US
214756,US
203739,US
9945,US
16996,US
35019,GB
35019,US
9822,US
976720,LT
976720,BE
976720,FR
638965,FR
38117,US
409297,US
409297,IE
409297,GB
810,US
9339,US
149509,US
9543,US
11114,US
102780,IE
102780,GB
532639,US
2309,US
455476,JP
76122,US
16441,US
267935,US
19901,AU
19901,US
10730,US
14207,US
8966,US
339967,US
14208,US
1013860,US
447277,US
303542,IT
303542,FR
451500,FR
58244,CA
24452,US
9598,US
428399,FR
428399,ES
11342,US
950387,US
14728,US
137321,US
46929,US
2619,US
517302,FI
244458,US
1098006,GB
1098006,US
35552,FR
2284,CA
2284,US
463821,CA
463821,IN
463821,US
11976,US
11976,GB
11845,FR
11352,US
877269,US
13313,US
9694,JP
1097870,US
9986,US
279690,CA
279690,US
515841,FR
197796,FR
181533,US
3040,RU
1022796,US
48395,FI
32657,CA
32657,GB
32657,US
23082,US
11824,US
460885,US
64686,US
287903,US
449563,US
6278,IE
6278,US
6278,GB
454294,GB
454294,US
24021,US
23629,US
2114,US
50619,US
11415,US
6552,US
10185,US
47533,US
20701,US
419831,US
419831,GB
10025,US
50479,US
9889,US
400106,US
10202,US
18360,US
10869,US
10836,ES
403587,US
27022,US
1019420,IE
1019420,US
44603,US
157820,FR
8067,GB
8989,US
127867,US
9610,US
268896,US
14128,US
613080,IT
2269,RU
10013,US
283378,US
37861,DK
37861,GB
21972,US
10351,US
72358,US
60304,US
228165,US
442062,US
62213,US
590995,US
296100,US
1636,US
739990,CA
739990,US
9946,US
461928,GB
426543,US
11979,US
11979,AU
2268,GB
2268,US
780609,GB
157834,GB
8850,US
428045,RU
254194,BE
254194,US
6917,CA
10137,US
11428,US
849,US
849,GB
23488,GB
37958,US
6217,US
9449,US
9449,GB
109491,US
32985,US
32985,GB
9745,US
76285,US
76285,CA
311324,US
735697,BE
735697,FR
542224,US
10353,FR
527261,US
9564,FR
198287,US
198287,VN
274854,US
24795,US
9021,US
9997,AU
9997,US
209112,US
18239,US
58595,US
12994,US
49730,CA
49730,US
19724,US
8698,GB
8698,US
266647,AU
266647,US
266647,GB
12556,US
615677,US
1022964,US
9597,FR
14248,US
10488,US
7091,US
4923,GB
354251,US
68728,US
39345,US
13477,US
487083,US
526896,US
297761,US
45649,FR
18823,US
258489,US
9406,US
9406,GB
346672,US
62764,US
846422,US
375588,HR
375588,FR
375588,HK
375588,HU
375588,US
1995,US
423949,US
22894,US
10280,US
1884,US
9312,US
9070,US
81005,US
238215,US
49524,US
38321,US
4442,US
4442,GB
24418,US
9678,US
9824,US
6477,US
11451,US
957452,US
9304,US
322240,FR
46261,MX
46261,AU
46261,US
9738,US
13836,US
353491,US
34636,DE
42949,FR
9906,US
45650,US
72331,US
539537,US
224141,US
41513,US
57165,US
370567,US
1996,US
223702,US
77931,US
10599,IT
26505,FR
440597,US
11649,US
312831,IE
312831,GB
3050,US
2928,US
55301,US
167810,US
20856,US
205584,AU
205584,US
10756,US
23398,US
9327,US
14239,US
420950,FR
9703,US
10610,HK
1091181,FR
457943,US
457943,GB
9334,US
1250,US
602211,US
2698,US
9954,US
456740,US
16300,US
74461,US
13025,CA
13025,US
9697,US
421792,US
421792,ES
6589,US
47327,US
475430,US
23047,US
282035,US
68737,CA
68737,US
68737,GB
1735,US
46441,US
11817,CA
11817,US
10546,US
1499,US
7840,US
9067,US
19585,US
11618,US
63207,US
63207,GB
23023,CA
23023,US
76757,US
414,US
2274,US
530081,US
10336,US
420808,US
10658,US
426285,JP
10992,US
888,US
9626,US
11469,US
43074,US
38319,US
10808,US
37430,US
634492,US
10588,US
9480,US
11597,US
9651,US
9651,GB
9651,NL
2395,FR
38745,US
39691,US
592831,US
302349,FI
1087822,US
2486,US
2486,GB
18843,CA
18843,US
9722,US
12158,US
5393,DE
5393,US
407451,US
